,Strain_ID,name,value,Lawn,Spot,MediaTime,Media,Time,TrialFinal
225,Methylobacterium_RPE3,Methylobacterium_RPE3,0,Methylobacterium_RPE3,Methylobacterium_RPE3,R2A-96h,R2A,96h,Trial
221,Methylobacterium_RPE3,Microbacterium_BM4,0,Methylobacterium_RPE3,Microbacterium_BM4,R2A-96h,R2A,96h,Trial
211,Methylobacterium_RPE3,Pseudomonas_putida_KT2442,-2,Methylobacterium_RPE3,Pseudomonas_putida_KT2442,R2A-96h,R2A,96h,Trial
214,Methylobacterium_RPE3,Sphingobium_Z2,0,Methylobacterium_RPE3,Sphingobium_Z2,R2A-96h,R2A,96h,Trial
212,Methylobacterium_RPE3,Streptomyces_RCH20P,0,Methylobacterium_RPE3,Streptomyces_RCH20P,R2A-96h,R2A,96h,Trial
215,Methylobacterium_RPE3,Variovax_RPC5,0,Methylobacterium_RPE3,Variovax_RPC5,R2A-96h,R2A,96h,Trial
159,Microbacterium_BM4,Bacillus_SCH24,-6,Microbacterium_BM4,Bacillus_SCH24,R2A-96h,R2A,96h,Trial
157,Microbacterium_BM4,Burkholderia_RCH25,-5,Microbacterium_BM4,Burkholderia_RCH25,R2A-96h,R2A,96h,Trial
160,Microbacterium_BM4,Cellulosimicrobium_BM1,0,Microbacterium_BM4,Cellulosimicrobium_BM1,R2A-96h,R2A,96h,Trial
164,Microbacterium_BM4,Chryseobacterium_SCH11,0,Microbacterium_BM4,Chryseobacterium_SCH11,R2A-96h,R2A,96h,Trial
163,Microbacterium_BM4,Dyadobacter_BM9,0,Microbacterium_BM4,Dyadobacter_BM9,R2A-96h,R2A,96h,Trial
153,Microbacterium_BM4,Ensifer_sp,0,Microbacterium_BM4,Ensifer_sp,R2A-96h,R2A,96h,Trial
158,Microbacterium_BM4,Exiguobacterium_RDH25,0,Microbacterium_BM4,Exiguobacterium_RDH25,R2A-96h,R2A,96h,Trial
162,Microbacterium_BM4,Luteibacter_BM7,0,Microbacterium_BM4,Luteibacter_BM7,R2A-96h,R2A,96h,Trial
156,Microbacterium_BM4,Massilia_sp,-2,Microbacterium_BM4,Massilia_sp,R2A-96h,R2A,96h,Trial
165,Microbacterium_BM4,Methylobacterium_RPE3,0,Microbacterium_BM4,Methylobacterium_RPE3,R2A-96h,R2A,96h,Trial
161,Microbacterium_BM4,Microbacterium_BM4,0,Microbacterium_BM4,Microbacterium_BM4,R2A-96h,R2A,96h,Trial
151,Microbacterium_BM4,Pseudomonas_putida_KT2442,-5,Microbacterium_BM4,Pseudomonas_putida_KT2442,R2A-96h,R2A,96h,Trial
154,Microbacterium_BM4,Sphingobium_Z2,-6,Microbacterium_BM4,Sphingobium_Z2,R2A-96h,R2A,96h,Trial
152,Microbacterium_BM4,Streptomyces_RCH20P,-5,Microbacterium_BM4,Streptomyces_RCH20P,R2A-96h,R2A,96h,Trial
155,Microbacterium_BM4,Variovax_RPC5,-4,Microbacterium_BM4,Variovax_RPC5,R2A-96h,R2A,96h,Trial
9,Pseudomonas_putida_KT2442,Bacillus_SCH24,0,Pseudomonas_putida_KT2442,Bacillus_SCH24,R2A-96h,R2A,96h,Trial
7,Pseudomonas_putida_KT2442,Burkholderia_RCH25,0,Pseudomonas_putida_KT2442,Burkholderia_RCH25,R2A-96h,R2A,96h,Trial
10,Pseudomonas_putida_KT2442,Cellulosimicrobium_BM1,0,Pseudomonas_putida_KT2442,Cellulosimicrobium_BM1,R2A-96h,R2A,96h,Trial
14,Pseudomonas_putida_KT2442,Chryseobacterium_SCH11,3,Pseudomonas_putida_KT2442,Chryseobacterium_SCH11,R2A-96h,R2A,96h,Trial
13,Pseudomonas_putida_KT2442,Dyadobacter_BM9,0,Pseudomonas_putida_KT2442,Dyadobacter_BM9,R2A-96h,R2A,96h,Trial
3,Pseudomonas_putida_KT2442,Ensifer_sp,0,Pseudomonas_putida_KT2442,Ensifer_sp,R2A-96h,R2A,96h,Trial
8,Pseudomonas_putida_KT2442,Exiguobacterium_RDH25,0,Pseudomonas_putida_KT2442,Exiguobacterium_RDH25,R2A-96h,R2A,96h,Trial
12,Pseudomonas_putida_KT2442,Luteibacter_BM7,0,Pseudomonas_putida_KT2442,Luteibacter_BM7,R2A-96h,R2A,96h,Trial
6,Pseudomonas_putida_KT2442,Massilia_sp,0,Pseudomonas_putida_KT2442,Massilia_sp,R2A-96h,R2A,96h,Trial
15,Pseudomonas_putida_KT2442,Methylobacterium_RPE3,0,Pseudomonas_putida_KT2442,Methylobacterium_RPE3,R2A-96h,R2A,96h,Trial
11,Pseudomonas_putida_KT2442,Microbacterium_BM4,0,Pseudomonas_putida_KT2442,Microbacterium_BM4,R2A-96h,R2A,96h,Trial
1,Pseudomonas_putida_KT2442,Pseudomonas_putida_KT2442,0,Pseudomonas_putida_KT2442,Pseudomonas_putida_KT2442,R2A-96h,R2A,96h,Trial
4,Pseudomonas_putida_KT2442,Sphingobium_Z2,0,Pseudomonas_putida_KT2442,Sphingobium_Z2,R2A-96h,R2A,96h,Trial
2,Pseudomonas_putida_KT2442,Streptomyces_RCH20P,0,Pseudomonas_putida_KT2442,Streptomyces_RCH20P,R2A-96h,R2A,96h,Trial
5,Pseudomonas_putida_KT2442,Variovax_RPC5,0,Pseudomonas_putida_KT2442,Variovax_RPC5,R2A-96h,R2A,96h,Trial
54,Sphingobium_Z2,Bacillus_SCH24,-6,Sphingobium_Z2,Bacillus_SCH24,R2A-96h,R2A,96h,Trial
52,Sphingobium_Z2,Burkholderia_RCH25,0,Sphingobium_Z2,Burkholderia_RCH25,R2A-96h,R2A,96h,Trial
55,Sphingobium_Z2,Cellulosimicrobium_BM1,0,Sphingobium_Z2,Cellulosimicrobium_BM1,R2A-96h,R2A,96h,Trial
59,Sphingobium_Z2,Chryseobacterium_SCH11,0,Sphingobium_Z2,Chryseobacterium_SCH11,R2A-96h,R2A,96h,Trial
58,Sphingobium_Z2,Dyadobacter_BM9,0,Sphingobium_Z2,Dyadobacter_BM9,R2A-96h,R2A,96h,Trial
48,Sphingobium_Z2,Ensifer_sp,0,Sphingobium_Z2,Ensifer_sp,R2A-96h,R2A,96h,Trial
53,Sphingobium_Z2,Exiguobacterium_RDH25,0,Sphingobium_Z2,Exiguobacterium_RDH25,R2A-96h,R2A,96h,Trial
57,Sphingobium_Z2,Luteibacter_BM7,0,Sphingobium_Z2,Luteibacter_BM7,R2A-96h,R2A,96h,Trial
51,Sphingobium_Z2,Massilia_sp,0,Sphingobium_Z2,Massilia_sp,R2A-96h,R2A,96h,Trial
60,Sphingobium_Z2,Methylobacterium_RPE3,0,Sphingobium_Z2,Methylobacterium_RPE3,R2A-96h,R2A,96h,Trial
56,Sphingobium_Z2,Microbacterium_BM4,0,Sphingobium_Z2,Microbacterium_BM4,R2A-96h,R2A,96h,Trial
46,Sphingobium_Z2,Pseudomonas_putida_KT2442,0,Sphingobium_Z2,Pseudomonas_putida_KT2442,R2A-96h,R2A,96h,Trial
49,Sphingobium_Z2,Sphingobium_Z2,0,Sphingobium_Z2,Sphingobium_Z2,R2A-96h,R2A,96h,Trial
47,Sphingobium_Z2,Streptomyces_RCH20P,0,Sphingobium_Z2,Streptomyces_RCH20P,R2A-96h,R2A,96h,Trial
50,Sphingobium_Z2,Variovax_RPC5,-1,Sphingobium_Z2,Variovax_RPC5,R2A-96h,R2A,96h,Trial
24,Streptomyces_RCH20P,Bacillus_SCH24,-5,Streptomyces_RCH20P,Bacillus_SCH24,R2A-96h,R2A,96h,Trial
